variavel,n_obs,metodo,criterio,vencedor,score,n_flags,precision,recall,f1,jaccard_medio
COR(ppm Pt Co),191,IQR_1.5,CONAMA_F1,False,0.1320754716981132,7,1.0,0.0707070707070707,0.1320754716981132,
COR(ppm Pt Co),191,IQR_3.0,CONAMA_F1,False,0.05882352941176471,3,1.0,0.030303030303030304,0.05882352941176471,
COR(ppm Pt Co),191,Z-score,CONAMA_F1,False,0.05882352941176471,3,1.0,0.030303030303030304,0.05882352941176471,
COR(ppm Pt Co),191,MAD,CONAMA_F1,True,0.1834862385321101,10,1.0,0.10101010101010101,0.1834862385321101,
COR(ppm Pt Co),191,Percentil_1-99,CONAMA_F1,False,0.03883495145631068,4,0.5,0.020202020202020204,0.03883495145631068,
COR(ppm Pt Co),191,Tukey_adj,CONAMA_F1,False,0.0,20,0.0,0.0,0.0,
TURB.(FTU),191,IQR_1.5,CONAMA_F1,False,0.4666666666666667,14,1.0,0.30434782608695654,0.4666666666666667,
TURB.(FTU),191,IQR_3.0,CONAMA_F1,False,0.12244897959183672,3,1.0,0.06521739130434782,0.12244897959183672,
TURB.(FTU),191,Z-score,CONAMA_F1,False,0.12244897959183672,3,1.0,0.06521739130434782,0.12244897959183672,
TURB.(FTU),191,MAD,CONAMA_F1,True,0.8051948051948052,31,1.0,0.6739130434782609,0.8051948051948052,
TURB.(FTU),191,Percentil_1-99,CONAMA_F1,False,0.08,4,0.5,0.043478260869565216,0.08,
TURB.(FTU),191,Tukey_adj,CONAMA_F1,False,0.0,0,0.0,0.0,0.0,
pH,191,IQR_1.5,JACCARD (CONAMA sem violação),True,0.5,4,,,,0.5
pH,191,IQR_3.0,JACCARD (CONAMA sem violação),False,0.2,0,,,,0.2
pH,191,Z-score,JACCARD (CONAMA sem violação),False,0.5,3,,,,0.5
pH,191,MAD,JACCARD (CONAMA sem violação),False,0.5,3,,,,0.5
pH,191,Percentil_1-99,JACCARD (CONAMA sem violação),False,0.2,0,,,,0.2
pH,191,Tukey_adj,JACCARD (CONAMA sem violação),False,0.5,4,,,,0.5
ALC.(ppm CaCO3),182,IQR_1.5,JACCARD,False,0.3712121212121212,11,,,,0.3712121212121212
ALC.(ppm CaCO3),182,IQR_3.0,JACCARD,False,0.4745454545454545,3,,,,0.4745454545454545
ALC.(ppm CaCO3),182,Z-score,JACCARD,True,0.610909090909091,5,,,,0.610909090909091
ALC.(ppm CaCO3),182,MAD,JACCARD,False,0.5757575757575758,6,,,,0.5757575757575758
ALC.(ppm CaCO3),182,Percentil_1-99,JACCARD,False,0.3571428571428571,3,,,,0.3571428571428571
ALC.(ppm CaCO3),182,Tukey_adj,JACCARD,False,0.5928571428571429,6,,,,0.5928571428571429
AC.(ppm CaCO3),182,IQR_1.5,JACCARD,False,0.4078674948240165,21,,,,0.4078674948240165
AC.(ppm CaCO3),182,IQR_3.0,JACCARD,True,0.48583959899749374,12,,,,0.48583959899749374
AC.(ppm CaCO3),182,Z-score,JACCARD,False,0.2635338345864661,4,,,,0.2635338345864661
AC.(ppm CaCO3),182,MAD,JACCARD,False,0.47895100069013113,16,,,,0.47895100069013113
AC.(ppm CaCO3),182,Percentil_1-99,JACCARD,False,0.17695688496603829,4,,,,0.17695688496603829
AC.(ppm CaCO3),182,Tukey_adj,JACCARD,False,0.40058842759071583,19,,,,0.40058842759071583
O.C.(ppm O2),185,IQR_1.5,JACCARD,False,0.6,5,,,,0.6
O.C.(ppm O2),185,IQR_3.0,JACCARD,False,0.6866666666666668,3,,,,0.6866666666666668
O.C.(ppm O2),185,Z-score,JACCARD,False,0.6866666666666668,3,,,,0.6866666666666668
O.C.(ppm O2),185,MAD,JACCARD,True,0.71,4,,,,0.71
O.C.(ppm O2),185,Percentil_1-99,JACCARD,False,0.2733333333333333,1,,,,0.2733333333333333
O.C.(ppm O2),185,Tukey_adj,JACCARD,False,0.71,4,,,,0.71
DBO(ppm O2),7,IQR_1.5,INSUFICIENTE,False,,0,,,,
DBO(ppm O2),7,IQR_3.0,INSUFICIENTE,False,,0,,,,
DBO(ppm O2),7,Z-score,INSUFICIENTE,False,,0,,,,
DBO(ppm O2),7,MAD,INSUFICIENTE,False,,0,,,,
DBO(ppm O2),7,Percentil_1-99,INSUFICIENTE,False,,0,,,,
DBO(ppm O2),7,Tukey_adj,INSUFICIENTE,False,,0,,,,
O.D.(ppm O2),187,IQR_1.5,CONAMA_F1,False,0.010752688172043012,4,0.25,0.005494505494505495,0.010752688172043012,
O.D.(ppm O2),187,IQR_3.0,CONAMA_F1,False,0.0,0,0.0,0.0,0.0,
O.D.(ppm O2),187,Z-score,CONAMA_F1,False,0.0,0,0.0,0.0,0.0,
O.D.(ppm O2),187,MAD,CONAMA_F1,False,0.0,0,0.0,0.0,0.0,
O.D.(ppm O2),187,Percentil_1-99,CONAMA_F1,True,0.021505376344086023,4,0.5,0.01098901098901099,0.021505376344086023,
O.D.(ppm O2),187,Tukey_adj,CONAMA_F1,False,0.010752688172043012,4,0.25,0.005494505494505495,0.010752688172043012,
