Ano,Mes,categoria,uni_iqr,uni_mad,multi_voto
2009,Jan,Só uni,True,True,False
2009,Fev,Forte,True,True,True
2009,Mar,Só uni,True,True,False
2009,Abr,Limpa,False,False,False
2009,Mai,Limpa,False,False,False
2009,Jun,Só uni,False,True,False
2009,Jul,Só uni,True,True,False
2009,Ago,Só uni,False,True,False
2009,Set,Limpa,False,False,False
2009,Out,Só uni,True,True,False
2009,Nov,Só uni,True,True,False
2009,Dez,Forte,True,True,True
2010,Jan,Só uni,True,True,False
2010,Fev,Só uni,True,True,False
2010,Mar,Só uni,True,True,False
2010,Abr,Só uni,True,True,False
2010,Mai,Limpa,False,False,False
2010,Jun,Só uni,False,True,False
2010,Jul,Limpa,False,False,False
2010,Ago,Limpa,False,False,False
2010,Set,Limpa,False,False,False
2010,Out,Limpa,False,False,False
2010,Nov,Limpa,False,False,False
2010,Dez,Só uni,True,True,False
2011,Jan,Forte,True,True,True
2011,Fev,Só uni,True,True,False
2011,Mar,Só uni,False,True,False
2011,Abr,Limpa,False,False,False
2011,Mai,Limpa,False,False,False
2011,Jun,Limpa,False,False,False
2011,Jul,Só uni,False,True,False
2011,Ago,Limpa,False,False,False
2011,Set,Limpa,False,False,False
2011,Out,Só uni,False,True,False
2011,Nov,Limpa,False,False,False
2011,Dez,Só uni,False,True,False
2012,Jan,Só uni,True,True,False
2012,Fev,Só uni,True,True,False
2012,Mar,Limpa,False,False,False
2012,Abr,Limpa,False,False,False
2012,Mai,Limpa,False,False,False
2012,Jun,Só uni,False,True,False
2012,Jul,Limpa,False,False,False
2012,Ago,Limpa,False,False,False
2012,Set,Só uni,True,True,False
2012,Out,Limpa,False,False,False
2012,Nov,Limpa,False,False,False
2012,Dez,Limpa,False,False,False
2013,Jan,Limpa,False,False,False
2013,Fev,Limpa,False,False,False
2013,Mar,Limpa,False,False,False
2013,Abr,Limpa,False,False,False
2013,Mai,Limpa,False,False,False
2013,Jun,Limpa,False,False,False
2013,Jul,Limpa,False,False,False
2013,Ago,Limpa,False,False,False
2013,Set,Limpa,False,False,False
2013,Out,Só uni,False,True,False
2013,Nov,Só uni,True,True,False
2013,Dez,Limpa,False,False,False
2014,Jan,Só uni,True,True,False
2014,Fev,Só uni,True,True,False
2014,Mar,Só uni,True,True,False
2014,Abr,Só uni,True,True,False
2014,Mai,Só uni,True,True,False
2014,Jun,Só uni,True,True,False
2014,Jul,Forte,True,True,True
2014,Ago,Forte,True,True,True
2014,Set,Forte,True,True,True
2014,Out,Forte,True,True,True
2014,Nov,Forte,True,True,True
2014,Dez,Só uni,True,True,False
2015,Jan,Limpa,False,False,False
2015,Fev,Só uni,True,True,False
2015,Mar,Só uni,False,True,False
2015,Abr,Limpa,False,False,False
2015,Mai,Limpa,False,False,False
2015,Jun,Limpa,False,False,False
2015,Jul,Incompleta,False,False,False
2015,Ago,Só uni,True,True,False
2015,Set,Só uni,True,True,False
2015,Out,Só uni,True,True,False
2015,Nov,Só uni,True,True,False
2015,Dez,Só uni,True,True,False
2016,Jan,Só uni,True,True,False
2016,Fev,Forte,True,True,True
2016,Mar,Só uni,False,True,False
2016,Abr,Limpa,False,False,False
2016,Mai,Limpa,False,False,False
2016,Jun,Forte,True,True,True
2016,Jul,Limpa,False,False,False
2016,Ago,Limpa,False,False,False
2016,Set,Limpa,False,False,False
2016,Out,Só uni,True,False,False
2016,Nov,Forte,True,True,True
2016,Dez,Limpa,False,False,False
2017,Jan,Só uni,True,True,False
2017,Fev,Só uni,True,True,False
2017,Mar,Limpa,False,False,False
2017,Abr,Forte,True,True,True
2017,Mai,Só uni,True,True,False
2017,Jun,Só uni,True,True,False
2017,Jul,Limpa,False,False,False
2017,Ago,Só uni,True,True,False
2017,Set,Só uni,True,True,False
2017,Out,Incompleta,False,False,False
2017,Nov,Só uni,True,True,False
2017,Dez,Limpa,False,False,False
2018,Jan,Só uni,True,True,False
2018,Fev,Só uni,False,True,False
2018,Mar,Limpa,False,False,False
2018,Abr,Limpa,False,False,False
