Ano,Mes,metodo,variavel_mais_extrema,valor_original,z_score,n_metodos,n_violacoes_conama
2009,Dez,IQR,Fe(ppm Fe),14.74,6.4,6,6
2009,Dez,MAD,Fe(ppm Fe),14.74,6.4,6,6
2009,Dez,IForest,Fe(ppm Fe),14.74,6.4,6,6
2009,Dez,LOF,Fe(ppm Fe),14.74,6.4,6,6
2009,Dez,KNN,Fe(ppm Fe),14.74,6.4,6,6
2009,Dez,Ensemble,Fe(ppm Fe),14.74,6.4,6,6
2009,Fev,IQR,COR(ppm Pt Co),868.0,6.64,6,6
2009,Fev,MAD,COR(ppm Pt Co),868.0,6.64,6,6
2009,Fev,IForest,COR(ppm Pt Co),868.0,6.64,6,6
2009,Fev,LOF,COR(ppm Pt Co),868.0,6.64,6,6
2009,Fev,KNN,COR(ppm Pt Co),868.0,6.64,6,6
2009,Fev,Ensemble,COR(ppm Pt Co),868.0,6.64,6,6
2014,Ago,IQR,O.C.(ppm O2),27.9,6.63,6,5
2014,Ago,MAD,O.C.(ppm O2),27.9,6.63,6,5
2014,Ago,IForest,O.C.(ppm O2),27.9,6.63,6,5
2014,Ago,LOF,O.C.(ppm O2),27.9,6.63,6,5
2014,Ago,KNN,O.C.(ppm O2),27.9,6.63,6,5
2014,Ago,Ensemble,O.C.(ppm O2),27.9,6.63,6,5
2014,Jul,IQR,Cl-(ppm Cl-),131.0,3.2,6,5
2014,Jul,MAD,Cl-(ppm Cl-),131.0,3.2,6,5
2014,Jul,IForest,Cl-(ppm Cl-),131.0,3.2,6,5
2014,Jul,LOF,Cl-(ppm Cl-),131.0,3.2,6,5
2014,Jul,KNN,Cl-(ppm Cl-),131.0,3.2,6,5
2014,Jul,Ensemble,Cl-(ppm Cl-),131.0,3.2,6,5
2014,Nov,IQR,Cl-(ppm Cl-),215.0,6.31,6,6
2014,Nov,MAD,Cl-(ppm Cl-),215.0,6.31,6,6
2014,Nov,IForest,Cl-(ppm Cl-),215.0,6.31,6,6
2014,Nov,LOF,Cl-(ppm Cl-),215.0,6.31,6,6
2014,Nov,KNN,Cl-(ppm Cl-),215.0,6.31,6,6
