data,Ano,Mes,COR(ppm Pt Co),TURB.(FTU),pH,O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),flag_IQR,flag_MAD,flag_IForest,flag_LOF,flag_KNN,flag_Ensemble,n_metodos,n_violacoes_conama,n_violacoes_sem_indicativos
2009-01-01,2009,Jan,432.0,131.0,7.2,6.8,3.5,23.0,47.0,6.26,0.17,145.0,True,True,False,False,False,False,2,6,5
2009-02-01,2009,Fev,868.0,238.0,7.1,7.2,4.1,21.0,33.0,9.55,0.12,133.0,True,True,True,True,True,True,6,6,5
2009-03-01,2009,Mar,158.0,63.0,7.4,7.9,3.1,26.0,40.0,5.83,0.15,171.0,True,True,False,False,False,False,2,5,4
2009-04-01,2009,Abr,63.0,36.0,7.4,7.4,2.7,23.0,45.0,1.96,0.12,201.0,False,False,False,False,False,False,0,4,3
2009-05-01,2009,Mai,33.0,14.0,7.3,5.3,2.2,33.0,40.0,1.4,0.13,292.0,False,False,False,False,False,False,0,4,3
2009-06-01,2009,Jun,29.0,12.0,7.4,6.8,2.3,34.0,49.0,1.02,0.12,283.0,False,False,False,False,False,False,0,4,3
2009-07-01,2009,Jul,33.0,13.0,7.4,7.8,1.9,32.0,48.0,1.31,0.11,258.0,False,False,False,False,False,False,0,4,3
2009-08-01,2009,Ago,36.0,16.0,7.4,6.8,1.7,38.0,49.0,1.38,0.14,333.0,False,False,False,False,False,False,0,4,3
2009-09-01,2009,Set,206.0,114.0,7.1,6.9,1.9,35.0,50.0,2.91,0.23,282.0,False,False,False,False,False,False,0,6,5
2009-10-01,2009,Out,57.0,23.0,7.3,6.4,1.6,33.0,47.0,1.7,0.19,296.0,False,False,False,False,False,False,0,4,3
2009-11-01,2009,Nov,312.0,219.0,7.2,8.3,2.2,31.0,43.0,5.67,0.15,199.0,True,True,False,False,False,False,2,6,5
2009-12-01,2009,Dez,798.0,401.0,7.1,9.0,4.4,20.0,35.0,14.74,0.16,118.0,True,True,True,True,True,True,6,6,5
2010-01-01,2010,Jan,249.0,124.0,7.3,6.7,4.8,17.0,37.0,8.45,0.17,105.0,True,True,False,False,False,False,2,6,5
2010-02-01,2010,Fev,192.0,85.0,7.3,7.6,4.2,19.0,34.0,5.0,0.1,118.0,False,True,False,False,False,False,1,4,3
2010-03-01,2010,Mar,289.0,238.0,7.2,7.8,4.2,19.0,30.0,7.65,0.14,121.0,True,True,False,False,False,False,2,6,5
2010-04-01,2010,Abr,120.0,70.0,7.3,7.1,4.6,25.0,32.0,3.11,0.11,170.0,False,False,False,False,False,False,0,5,4
2010-05-01,2010,Mai,34.0,11.0,7.3,5.3,2.5,22.0,34.0,1.29,0.16,203.0,False,False,False,False,False,False,0,4,3
2010-06-01,2010,Jun,37.0,8.0,7.3,4.2,2.4,28.0,35.0,0.71,0.11,250.0,False,False,False,False,False,False,0,4,3
2010-07-01,2010,Jul,29.0,8.0,7.4,5.8,2.0,38.0,65.0,0.92,0.13,283.0,False,False,False,False,False,False,0,4,3
2010-08-01,2010,Ago,28.0,7.0,7.4,7.1,1.3,57.0,36.0,0.87,0.12,338.0,False,False,False,False,False,False,0,4,3
2010-09-01,2010,Set,38.0,10.0,7.4,10.5,0.9,35.0,53.0,1.23,0.17,394.0,False,False,False,False,False,False,0,5,4
2010-10-01,2010,Out,35.0,9.0,7.6,8.8,1.4,36.0,43.0,1.06,0.16,366.0,False,False,False,False,False,False,0,5,4
2010-11-01,2010,Nov,41.0,24.0,7.4,7.6,1.5,36.0,38.0,1.3,0.17,317.0,False,False,False,False,False,False,0,4,3
2010-12-01,2010,Dez,79.0,44.0,7.4,6.5,2.2,35.0,40.0,2.61,0.27,260.0,False,False,False,False,False,False,0,6,5
2011-01-01,2011,Jan,422.0,277.0,7.3,9.3,4.3,21.0,36.0,9.55,0.35,106.0,True,True,True,False,True,True,5,6,5
2011-02-01,2011,Fev,191.0,135.0,7.4,6.5,3.3,26.0,34.0,5.71,0.18,126.0,True,True,False,False,False,False,2,6,5
2011-04-01,2011,Abr,135.0,113.0,7.3,6.3,3.5,34.0,40.0,3.69,0.16,165.0,False,False,False,False,False,False,0,8,7
2011-05-01,2011,Mai,54.0,22.0,7.2,4.6,3.0,31.0,44.0,1.24,0.13,216.0,False,False,False,False,False,False,0,4,3
2011-06-01,2011,Jun,28.0,12.0,7.2,4.2,3.1,32.0,44.0,1.03,0.13,254.0,False,False,False,False,False,False,0,5,4
2011-07-01,2011,Jul,43.0,7.0,7.4,6.0,2.5,40.0,54.0,0.72,0.14,320.0,False,False,False,False,False,False,0,6,5
2011-08-01,2011,Ago,50.0,8.0,7.4,6.0,2.4,38.0,50.0,0.78,0.14,368.0,False,False,False,False,False,False,0,4,3
2011-09-01,2011,Set,68.0,6.0,7.5,8.1,2.4,42.0,64.0,0.86,0.22,462.0,False,False,False,False,False,False,0,5,4
2011-10-01,2011,Out,138.0,44.0,7.4,8.0,2.6,38.0,56.0,2.74,0.3,400.0,False,False,False,False,False,False,0,6,5
2011-11-01,2011,Nov,146.0,69.0,7.3,8.0,3.0,34.0,46.0,2.54,0.15,289.0,False,False,False,False,False,False,0,6,5
2011-12-01,2011,Dez,238.0,202.0,7.3,6.7,3.3,34.0,56.0,2.38,0.19,210.0,False,True,False,False,False,False,1,7,6
2012-01-01,2012,Jan,492.0,250.0,7.5,7.7,4.0,30.0,39.0,3.45,0.25,150.0,True,True,False,False,False,False,2,7,6
2012-02-01,2012,Fev,159.0,43.0,7.5,5.4,3.4,33.0,40.0,2.15,0.14,206.0,False,False,False,False,False,False,0,6,5
2012-03-01,2012,Mar,114.0,47.0,7.7,4.2,2.4,43.0,42.0,1.51,0.13,227.0,False,False,False,False,False,False,0,5,4
2012-04-01,2012,Abr,115.0,35.0,7.4,5.0,2.8,38.0,33.0,1.68,0.14,213.0,False,False,False,False,False,False,0,5,4
2012-05-01,2012,Mai,122.0,35.0,7.3,5.1,3.3,38.0,30.0,2.39,0.12,166.0,False,False,False,False,False,False,0,5,4
2012-06-01,2012,Jun,236.0,177.0,7.3,10.8,3.9,28.0,37.0,3.27,0.18,152.0,False,True,False,False,False,False,1,7,6
2012-07-01,2012,Jul,125.0,111.0,7.2,9.3,3.9,29.0,37.0,1.42,0.11,187.0,False,False,False,False,False,False,0,6,5
2012-08-01,2012,Ago,40.0,8.0,7.4,8.3,2.5,41.0,45.0,0.83,0.05,306.0,False,False,False,False,False,False,0,3,2
2012-09-01,2012,Set,43.0,6.0,7.5,7.5,2.0,48.0,49.0,0.83,0.11,372.0,False,False,False,False,False,False,0,5,4
2012-10-01,2012,Out,74.0,14.0,7.5,10.8,1.7,55.0,43.0,0.94,0.16,403.0,False,False,False,False,False,False,0,5,4
2012-11-01,2012,Nov,61.0,9.0,7.6,8.5,2.0,44.0,61.0,0.99,0.14,387.0,False,False,False,False,False,False,0,5,4
2012-12-01,2012,Dez,94.0,52.0,7.4,7.2,2.2,33.0,47.0,1.71,0.15,311.0,False,False,False,False,False,False,0,6,5
