variavel,n,pct_faltante,media,desvio,minimo,q1,mediana,q3,maximo,assimetria
COR(ppm Pt Co),191,0.52,120.476,110.341,28.0,54.5,77.0,153.0,868.0,3.431
TURB.(FTU),191,0.52,63.576,76.455,4.0,10.0,28.0,89.0,401.0,1.982
pH,191,0.52,7.325,0.181,7.0,7.2,7.3,7.4,7.9,0.641
ALC.(ppm CaCO3),182,5.21,63.423,26.881,24.0,46.0,58.0,73.0,195.0,1.801
AC.(ppm CaCO3),182,5.21,12.236,9.274,4.0,8.0,10.0,12.0,72.0,3.819
O.C.(ppm O2),185,3.65,8.54,2.896,4.2,6.8,8.2,9.5,27.9,2.851
DBO(ppm O2),7,96.35,15.371,24.546,4.6,5.8,6.2,7.1,71.0,2.639
O.D.(ppm O2),187,2.6,3.119,0.886,0.6,2.5,3.1,3.65,5.7,0.182
Cl-(ppm Cl-),185,3.65,44.692,26.747,15.0,32.0,39.0,51.0,233.0,3.915
DUR.(ppm CaCO3),185,3.65,53.973,17.627,13.0,42.0,50.0,63.0,148.0,1.408
Fe(ppm Fe),185,3.65,2.154,1.957,0.17,0.92,1.4,2.74,14.74,2.666
Mn(mg/l),185,3.65,0.19,0.121,0.02,0.12,0.15,0.21,0.76,2.409
N(ppm N),21,89.06,7.825,8.437,2.07,3.45,6.82,8.4,42.7,3.828
P(ppm P),18,90.62,0.721,0.465,0.06,0.315,0.8,0.93,1.62,0.448
Cond.(uS/cm),189,1.56,327.45,159.263,105.0,210.0,291.0,397.0,1098.0,1.525
Amonia(mg/l),47,75.52,3.746,2.332,0.06,1.985,3.73,5.925,8.81,0.226
Surfact.(mg/l),1,99.48,0.129,,0.129,0.129,0.129,0.129,0.129,
Cianobacteria(cel/ml),178,7.29,10520.831,14856.118,57.0,2018.25,5139.0,13096.5,122480.0,3.64
S.T.(mg/l),1,99.48,145.0,,145.0,145.0,145.0,145.0,145.0,
C.T.(NMP/100ml),75,60.94,303241.773,523144.497,0.0,30000.0,110000.0,300000.0,3000000.0,3.266
C.F.(NMP/100ml),154,19.79,23989.481,50506.968,0.0,2325.0,5700.0,19000.0,300000.0,3.765
CLOROFILA(ug/l),177,7.81,36.523,47.799,0.0,12.28,24.0,46.13,509.64,6.108
F(ppm F),156,18.75,0.295,0.137,0.0,0.22,0.28,0.36,0.77,0.629
