variavel,n,pct_faltante,media,desvio,minimo,q1,mediana,q3,maximo,assimetria
COR(ppm Pt Co),192,0.0,120.25,110.096,28.0,54.75,77.0,152.0,868.0,3.442
TURB.(FTU),192,0.0,63.391,76.298,4.0,10.0,28.0,87.0,401.0,1.991
pH,192,0.0,7.325,0.18,7.0,7.2,7.3,7.4,7.9,0.642
ALC.(ppm CaCO3),192,0.0,63.319,26.27,24.0,46.0,58.5,73.0,195.0,1.837
AC.(ppm CaCO3),192,0.0,12.293,9.146,4.0,8.0,10.0,12.052,72.0,3.795
O.C.(ppm O2),192,0.0,8.528,2.844,4.2,6.8,8.2,9.5,27.9,2.914
O.D.(ppm O2),192,0.0,3.119,0.874,0.6,2.5,3.119,3.6,5.7,0.184
Cl-(ppm Cl-),192,0.0,44.484,26.274,15.0,32.0,39.0,50.0,233.0,4.001
DUR.(ppm CaCO3),192,0.0,53.828,17.317,13.0,42.75,50.0,62.0,148.0,1.454
Fe(ppm Fe),192,0.0,2.127,1.926,0.17,0.92,1.4,2.675,14.74,2.734
Mn(mg/l),192,0.0,0.189,0.119,0.02,0.12,0.15,0.2,0.76,2.474
Cond.(uS/cm),192,0.0,326.88,158.072,105.0,212.25,291.0,396.25,1098.0,1.545
Cianobacteria(cel/ml),192,0.0,10700.214,14347.078,57.0,2368.0,6208.5,13414.432,122480.0,3.708
C.F.(NMP/100ml),192,0.0,22455.399,46025.796,0.0,2669.444,7229.055,18250.0,300000.0,4.079
CLOROFILA(ug/l),192,0.0,37.516,47.018,0.0,13.297,26.335,46.65,509.64,5.946
F(ppm F),192,0.0,0.296,0.126,0.0,0.23,0.288,0.349,0.77,0.667
