data,Ano,Mes,COR(ppm Pt Co),TURB.(FTU),pH,ALC.(ppm CaCO3),AC.(ppm CaCO3),O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),Cianobacteria(cel/ml),C.F.(NMP/100ml),CLOROFILA(ug/l),F(ppm F),anomaly_score
2014-08-01,2014,Ago,98.0,25.0,7.7,195.0,61.0,27.9,0.6000000000000001,117.0,100.0,0.72,0.25,916.0,12132.35763051475,300000.0,78.3524350426164,0.74,-0.1953181160623632
2014-11-01,2014,Nov,259.0,119.0,7.5,144.0,10.0,11.6,2.7,215.0,91.0,3.7,0.41,763.0,4214.0,70000.0,25.89,0.77,-0.11025101916405683
2014-10-01,2014,Out,148.0,26.0,7.9,151.0,12.0,13.1,2.2,233.0,97.0,1.03,0.18,1098.0,2428.0,80000.0,70.08,0.5412150427301127,-0.10589112590498612
2014-09-01,2014,Set,89.0,30.0,7.9,159.0,7.0,22.2,1.2999999999999998,118.0,95.0,1.42,0.37,819.0,3243.0,2100.0,63.84,0.61,-0.10282091523148346
2009-12-01,2009,Dez,798.0,401.0,7.1,30.0,7.0,9.0,4.4,20.0,35.0,14.74,0.16,118.0,1849.0,86500.0,24.0,0.16,-0.09897776860663726
2014-02-01,2014,Fev,123.0,15.0,7.9,139.0,7.0,12.1,2.5,89.0,85.0,1.67,0.2,659.0,18806.0,8000.0,509.64,0.28,-0.08492694134352713
2014-07-01,2014,Jul,75.0,13.0,7.5,166.0,58.99999999999999,12.0,1.4,131.0,92.0,0.7,0.18,786.0,2497.000000000001,70000.0,33.03,0.28,-0.07103990993850146
2016-02-01,2016,Fev,286.0,167.0,7.5,46.0,11.0,13.3,5.6,120.0,148.0,4.33,0.32,174.0,957.0,22000.0,5.579999999999998,0.2,-0.06802078085178215
2011-01-01,2011,Jan,422.0,277.0,7.3,24.0,5.0,9.3,4.3,21.0,36.0,9.55,0.35,106.0,354.0,30000.0,2.229999999999997,0.15,-0.029603391667617773
2009-02-01,2009,Fev,868.0,238.0,7.1,31.0,7.0,7.2,4.1,21.0,33.0,9.55,0.12,132.99999999999997,2100.0,30000.0,7.809999999999999,0.16,-0.0245460181925074
2017-11-01,2017,Nov,101.0,30.0,7.4,80.0,72.0,6.8,3.5,61.0,56.0,0.6499999999999999,0.58,396.0,1578.0,3577.837206172291,4.460000000000001,0.2685044967073581,-0.021674555508339133
2016-11-01,2016,Nov,218.0,371.00000000000006,7.4,42.0,13.0,11.1,3.2,32.0,46.0,4.92,0.76,221.0,143.0,10459.342510990688,86.3,0.279958143361287,-0.021615114685289483
2016-06-01,2016,Jun,270.0,394.0,7.2,31.0,8.0,9.2,5.5,23.0,40.0,4.9,0.48,131.99999999999997,1131.0,8000.0,14.28,0.2379224408007516,-0.009281520617895278
2021-12-01,2021,Dez,105.0,66.0,7.4,67.0,10.0,5.1,3.2,51.0,60.0,0.97,0.12,392.0,122480.0,4200.0,106.76,0.38,-0.0006637964647697725
