variavel,media_antes,media_depois,mediana_antes,mediana_depois,std_antes,std_depois,delta_media_%,delta_std_%
O.D.(ppm O2),3.119,3.119,3.1,3.119,0.886,0.876,0.0,-1.06
pH,7.325,7.325,7.3,7.3,0.181,0.181,0.0,0.0
DUR.(ppm CaCO3),53.973,53.848,50.0,50.0,17.627,17.361,-0.23,-1.51
O.C.(ppm O2),8.54,8.529,8.2,8.2,2.896,2.851,-0.13,-1.57
Fe(ppm Fe),2.154,2.13,1.4,1.4,1.957,1.931,-1.1,-1.36
Mn(mg/l),0.19,0.189,0.15,0.15,0.121,0.12,-0.66,-1.42
Cl-(ppm Cl-),44.692,44.513,39.0,39.0,26.747,26.34,-0.4,-1.52
Cond.(uS/cm),327.45,327.068,291.0,291.0,159.263,158.466,-0.12,-0.5
TURB.(FTU),63.576,63.576,28.0,28.0,76.455,76.455,0.0,0.0
COR(ppm Pt Co),120.476,120.476,77.0,77.0,110.341,110.341,0.0,0.0
C.F.(NMP/100ml),23989.481,22560.286,5700.0,7323.371,50506.968,46124.187,-5.96,-8.68
F(ppm F),0.295,0.297,0.28,0.288,0.137,0.127,0.46,-7.67
CLOROFILA(ug/l),36.523,37.567,24.0,25.89,47.799,47.136,2.86,-1.39
Cianobacteria(cel/ml),10520.831,10702.681,5139.0,6200.0,14856.118,14384.723,1.73,-3.17
AC.(ppm CaCO3),12.236,12.304,10.0,10.0,9.274,9.169,0.56,-1.14
ALC.(ppm CaCO3),63.423,63.333,58.0,58.0,26.881,26.338,-0.14,-2.02
